Journal,Policy,abbreviations
AMERICAN NATURALIST,Encouraged,Am Nat
ECOLOGICAL APPLICATIONS,Mandatory,Ecol Appl
ECOLOGICAL MONOGRAPHS,Mandatory,Ecol Monographs
ECOLOGY,Mandatory,Ecology
ECOSPHERE,Mandatory,Ecosphere
FUNCTIONAL ECOLOGY,Encouraged/Mandatory,Funct Ecol
HEREDITY,Encouraged/Mandatory,Heredity
JOURNAL OF ANIMAL ECOLOGY,Encouraged/Mandatory,J Anim Ecol
JOURNAL OF APPLIED ECOLOGY,Encouraged/Mandatory,J Appl Ecol
JOURNAL OF ECOLOGY,Encouraged/Mandatory,J Ecol
METHODS IN ECOLOGY AND EVOLUTION,Encouraged/Mandatory,Methods Ecol Evol
MOLECULAR ECOLOGY,Encouraged,Mol Ecol
MOLECULAR ECOLOGY RESOURCES,Encouraged,Mol Ecol Resour
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Mandatory,P R Soc B
